total_latency_ms,cache_hit_rate,cache_miss_rate,expert_loads,cache_misses,memory_usage_mb,l1_hit_rate,l2_hit_rate,l3_hit_rate,strategy,strategy_name,batch_size,run,sequence_length,complexity_score,timestamp
822.0204735099261,0.9994509516837482,0.0005490483162518302,1,1,1824.0,0.8748169838945827,0.12445095168374817,0.00018301610541727673,B,Oracle,8,2,2048,3.0,2025-07-21T21:44:23.174393
822.4406062730191,0.9992069302098585,0.0007930697901415325,5,5,1824.0,0.8732308443142996,0.1259150805270864,6.1005368472425575e-05,B,Oracle,8,3,2048,3.0,2025-07-21T21:44:23.261430
823.3082692850397,0.9992069302098585,0.0007930697901415325,5,5,1824.0,0.872132747681796,0.12707418252806246,0.0,B,Oracle,8,4,2048,3.0,2025-07-21T21:44:23.346018
820.7231072891838,0.9994509516837482,0.0005490483162518302,1,1,1824.0,0.8780502684236213,0.12127867252318204,0.00012201073694485115,B,Oracle,8,5,2048,3.0,2025-07-21T21:44:23.429861
822.3217364059057,0.9993289409468034,0.0006710590531966813,3,3,1824.0,0.876281112737921,0.12304782820888238,0.0,B,Oracle,8,6,2048,3.0,2025-07-21T21:44:23.514786
820.8292070224616,0.9994509516837482,0.0005490483162518302,1,1,1824.0,0.8681063933626159,0.13128355295265984,6.1005368472425575e-05,B,Oracle,8,7,2048,3.0,2025-07-21T21:44:23.599354
823.2875090949183,0.9992679355783309,0.0007320644216691069,4,4,1824.0,0.8743899463152758,0.1247559785261103,0.00012201073694485115,B,Oracle,8,8,2048,3.0,2025-07-21T21:44:23.683733
818.4859135844378,0.9995119570522206,0.0004880429477794046,0,0,1824.0,0.8676183504148365,0.13177159590043924,0.00012201073694485115,B,Oracle,8,9,2048,3.0,2025-07-21T21:44:23.769046
822.0987481534512,0.9993899463152758,0.0006100536847242558,2,2,1824.0,0.872559785261103,0.12676915568570035,6.1005368472425575e-05,B,Oracle,16,0,2048,3.0,2025-07-21T21:44:23.855251
821.5757593583294,0.9993899463152758,0.0006100536847242558,2,2,1824.0,0.8717667154709614,0.12756222547584187,6.1005368472425575e-05,B,Oracle,16,1,2048,3.0,2025-07-21T21:44:23.947084
820.768480355176,0.9993289409468034,0.0006710590531966813,3,3,1824.0,0.8764641288433382,0.12280380673499268,6.1005368472425575e-05,B,Oracle,16,2,2048,3.0,2025-07-21T21:44:24.031430
820.5120523436264,0.9994509516837482,0.0005490483162518302,1,1,1824.0,0.8701805758906784,0.12920937042459738,6.1005368472425575e-05,B,Oracle,16,3,2048,3.0,2025-07-21T21:44:24.115671
820.8250113064062,0.9993289409468034,0.0006710590531966813,3,3,1824.0,0.8714006832601269,0.127867252318204,6.1005368472425575e-05,B,Oracle,16,4,2048,3.0,2025-07-21T21:44:24.200045
820.5693791362766,0.9993899463152758,0.0006100536847242558,2,2,1824.0,0.8721937530502685,0.1271961932650073,0.0,B,Oracle,16,5,2048,3.0,2025-07-21T21:44:24.285604
