strategy,strategy_display_name,category,batch_size,replication,total_latency,l1_hit_rate,l2_hit_rate,l3_hit_rate,overall_hit_rate,miss_rate,average_cache_latency,total_accesses,deduplication_efficiency
intelligent_dedup_ours,Intelligent+Deduplication (Ours),Our Complete Solution,8,4,34417.29999999998,0.11816384801229958,0.12101910828025478,0.015154842960685262,0.2543377992532396,0.7456622007467604,7.559257632330333,4553,5.145833333333334
on_demand,On-Demand,Baseline,16,0,69177.00000000003,0.1171875,0.12260416666666667,0.058645833333333335,0.2984375,0.7015625,7.2059375,9600,0.0
pregated_moe,Pre-gated MoE,Paper Baseline,16,0,69614.00000000006,0.11979166666666667,0.11729166666666667,0.05604166666666666,0.29312499999999997,0.706875,7.251458333333333,9600,0.0
expertflow_plec,ExpertFlow PLEC,Paper Baseline,16,0,71928.20000000004,0.11791666666666667,0.11895833333333333,0.02625,0.26312500000000005,0.736875,7.492520833333333,9600,0.0
topk_ours,Top-K (Ours),Our Contribution,16,0,85870.0,0.0,0.0,0.0,0.0,1.0,10.0,8587,0.0
multilook_ours,Multi-Look-Ahead (Ours),Our Contribution,16,0,85870.0,0.0,0.0,0.0,0.0,1.0,10.0,8587,0.0
intelligent_dedup_ours,Intelligent+Deduplication (Ours),Our Complete Solution,16,0,64682.40000000008,0.10294631419587749,0.14999417724467218,0.0029113776639105625,0.25585186910446023,0.7441481308955398,7.532595784325143,8587,10.552083333333332
on_demand,On-Demand,Baseline,16,1,68402.30000000003,0.126875,0.12135416666666667,0.058229166666666665,0.3064583333333334,0.6935416666666666,7.125239583333333,9600,0.0
pregated_moe,Pre-gated MoE,Paper Baseline,16,1,68611.40000000004,0.1275,0.11604166666666667,0.06104166666666667,0.3045833333333333,0.6954166666666667,7.1470208333333325,9600,0.0
expertflow_plec,ExpertFlow PLEC,Paper Baseline,16,1,72275.5,0.11770833333333333,0.11677083333333334,0.024583333333333332,0.2590625,0.7409375,7.528697916666666,9600,0.0
topk_ours,Top-K (Ours),Our Contribution,16,1,85460.0,0.0,0.0,0.0,0.0,1.0,10.0,8546,0.0
multilook_ours,Multi-Look-Ahead (Ours),Our Contribution,16,1,85460.0,0.0,0.0,0.0,0.0,1.0,10.0,8546,0.0
intelligent_dedup_ours,Intelligent+Deduplication (Ours),Our Complete Solution,16,1,64539.10000000002,0.11010999297917154,0.1401825415399017,0.003276386613620407,0.2535689211326937,0.7464310788673063,7.551965831968172,8546,10.979166666666666
on_demand,On-Demand,Baseline,16,2,68080.10000000002,0.12302083333333333,0.1225,0.06583333333333333,0.3113541666666667,0.6886458333333333,7.091677083333334,9600,0.0
pregated_moe,Pre-gated MoE,Paper Baseline,16,2,67909.50000000003,0.12395833333333334,0.12427083333333333,0.06479166666666666,0.3130208333333333,0.6869791666666667,7.07390625,9600,0.0
expertflow_plec,ExpertFlow PLEC,Paper Baseline,16,2,71421.30000000002,0.11489583333333334,0.12520833333333334,0.029166666666666667,0.26927083333333335,0.7307291666666667,7.43971875,9600,0.0
topk_ours,Top-K (Ours),Our Contribution,16,2,85030.0,0.0,0.0,0.0,0.0,1.0,10.0,8503,0.0
multilook_ours,Multi-Look-Ahead (Ours),Our Contribution,16,2,85030.0,0.0,0.0,0.0,0.0,1.0,10.0,8503,0.0
intelligent_dedup_ours,Intelligent+Deduplication (Ours),Our Complete Solution,16,2,64372.50000000004,0.111137245677996,0.13783370575091144,0.002469716570622133,0.2514406679995296,0.7485593320004704,7.570563330589204,8503,11.427083333333334
on_demand,On-Demand,Baseline,16,3,68289.6,0.12145833333333333,0.12770833333333334,0.058854166666666666,0.3080208333333333,0.6919791666666667,7.113500000000001,9600,0.0
pregated_moe,Pre-gated MoE,Paper Baseline,16,3,68171.90000000004,0.1228125,0.1275,0.058958333333333335,0.3092708333333334,0.6907291666666666,7.101239583333332,9600,0.0
expertflow_plec,ExpertFlow PLEC,Paper Baseline,16,3,72333.70000000004,0.11427083333333334,0.11875,0.025729166666666668,0.25875000000000004,0.74125,7.534760416666666,9600,0.0
topk_ours,Top-K (Ours),Our Contribution,16,3,85520.0,0.0,0.0,0.0,0.0,1.0,10.0,8552,0.0
multilook_ours,Multi-Look-Ahead (Ours),Our Contribution,16,3,85520.0,0.0,0.0,0.0,0.0,1.0,10.0,8552,0.0
intelligent_dedup_ours,Intelligent+Deduplication (Ours),Our Complete Solution,16,3,64727.79999999998,0.10909728718428438,0.13996725912067354,0.0026894293732460245,0.2517539756782039,0.7482460243217961,7.568732460243218,8552,10.916666666666666
on_demand,On-Demand,Baseline,16,4,68614.30000000003,0.12010416666666666,0.12520833333333334,0.059270833333333335,0.3045833333333333,0.6954166666666667,7.147322916666667,9600,0.0
